ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,rs_pct,flow_score,flow_txt,score
033780,KT&G,KOSPI200,172700.00,0.58,179000.00,-3.52,0.72,0.52,341.04,-10.24,5,종가>50일선,관찰,"피벗 179,000까지 3.5%",179179.00,173630.00,197096.90,3.23,-3.10,56.63,100.00,5일 +192억 (외 +262 / 기 -71),68.40
096770,SK이노베이션,KOSPI200,139500.00,1.90,164700.00,-15.30,0.50,0.68,1745.28,-15.30,6,,,"눌림 조건 충족, 손익비 1.4로 제외",139500.00,,153450.00,,,73.41,50.00,-,68.20
066570,LG전자,KOSPI200,198500.00,-0.55,225500.00,-11.97,0.33,0.24,1334.69,-54.68,5,52주고가 75%↑,,,198500.00,,218350.00,,,90.19,50.00,-,68.20
067310,하나마이크론,KOSDAQ150,37800.00,6.33,39150.00,-3.45,2.02,0.67,485.08,-35.38,4,"50>150일선, 52주고가 75%↑",,,37800.00,,41580.00,,,80.12,50.00,-,68.10
036540,SFA반도체,KOSDAQ150,8680.00,-2.69,9060.00,-4.19,1.26,0.22,292.69,-25.43,4,"50>150일선, 52주고가 75%↑",,,8680.00,,9548.00,,,90.61,50.00,-,68.00
028670,팬오션,KOSPI200,5860.00,1.21,6530.00,-10.26,0.56,0.35,230.24,-11.21,6,,,,5860.00,,6446.00,,,71.73,50.00,-,67.90
032820,우리기술,KOSDAQ150,13410.00,3.87,15070.00,-11.02,1.11,0.58,886.44,-55.60,4,"50>150일선, 52주고가 75%↑",,,13410.00,,14751.00,,,92.29,50.00,-,67.80
420770,기가비스,KOSDAQ150,100400.00,-3.37,128800.00,-22.05,0.96,0.27,130.73,-51.26,4,"종가>50일선, 52주고가 75%↑",,,100400.00,,110440.00,,,93.97,50.00,-,67.70
073240,금호타이어,KOSPI200,7020.00,-0.43,7870.00,-10.80,0.08,0.36,156.31,-20.68,6,,,,7020.00,,7722.00,,,77.61,50.00,-,67.50
000990,DB하이텍,KOSPI200,123500.00,-2.14,127500.00,-3.14,1.39,0.11,655.45,-46.42,4,"50>150일선, 52주고가 75%↑",,,123500.00,,135850.00,,,86.83,50.00,-,67.40
175330,JB금융지주,KOSPI200,31650.00,-3.95,33100.00,-4.38,0.87,0.18,137.94,-17.79,6,,,"눌림 조건 충족, 손익비 1.4로 제외",31650.00,,34815.00,,,65.86,50.00,-,67.40
280360,롯데웰푸드,KOSPI200,129800.00,-1.07,155000.00,-16.26,0.90,0.44,53.85,-16.26,6,,,,129800.00,,142780.00,,,64.18,50.00,-,67.00
064760,티씨케이,KOSDAQ150,271500.00,0.93,288500.00,-5.89,0.47,0.74,177.71,-22.09,5,50>150일선,,,271500.00,,298650.00,,,84.74,50.00,-,67.00
047040,대우건설,KOSPI200,18580.00,-0.16,21950.00,-15.35,0.52,0.42,1642.60,-53.95,4,"50>150일선, 52주고가 75%↑",,,18580.00,,20438.00,,,97.32,50.00,-,66.70
090430,아모레퍼시픽,KOSPI200,143400.00,-1.04,152500.00,-5.97,0.48,0.16,360.79,-15.15,6,,,,143400.00,,157740.00,,,69.22,50.00,-,66.60
128940,한미약품,KOSPI200,515000.00,2.79,564000.00,-8.69,1.29,0.52,1045.43,-20.40,5,50>150일선,,,515000.00,,566500.00,,,71.31,50.00,-,66.40
282330,BGF리테일,KOSPI200,142100.00,0.92,153400.00,-7.37,0.44,0.57,72.94,-9.26,6,,,,142100.00,,156310.00,,,68.38,50.00,-,66.10
007340,DN오토모티브,KOSPI200,48050.00,4.46,53300.00,-9.85,0.51,0.75,64.80,-28.81,5,52주고가 75%↑,,,48050.00,,52855.00,,,80.96,50.00,-,65.90
402340,SK스퀘어,KOSPI200,1012000.00,-0.49,1199000.00,-15.60,0.42,0.26,5095.11,-53.77,4,"종가>50일선, 52주고가 75%↑",,,1012000.00,,1113200.00,,,96.48,50.00,-,65.90
008930,한미사이언스,KOSPI200,50700.00,0.00,61000.00,-16.89,0.33,0.05,313.19,-16.89,5,150>200일선,,,50700.00,,55770.00,,,82.64,50.00,-,65.60
319660,피에스케이,KOSDAQ150,126400.00,-1.17,140900.00,-10.29,0.40,0.30,380.21,-42.41,4,"종가>50일선, 52주고가 75%↑",,,126400.00,,139040.00,,,95.64,50.00,-,65.50
000810,삼성화재,KOSPI200,665000.00,0.15,705000.00,-5.67,0.41,0.23,701.43,-12.15,6,,,,665000.00,,731500.00,,,66.70,50.00,-,65.40
089970,브이엠,KOSDAQ150,53400.00,2.89,65200.00,-18.10,0.73,0.73,286.92,-56.27,4,"종가>50일선, 52주고가 75%↑",,,53400.00,,58740.00,,,89.77,50.00,-,65.10
180640,한진칼,KOSPI200,138700.00,1.24,154200.00,-10.05,0.46,0.69,120.49,-21.15,6,,,,138700.00,,152570.00,,,63.76,50.00,-,64.60
095610,테스,KOSDAQ150,136300.00,0.44,166300.00,-18.04,0.24,0.81,545.97,-42.37,4,"종가>50일선, 52주고가 75%↑",,,136300.00,,149930.00,,,95.22,50.00,-,64.50
080220,제주반도체,KOSDAQ150,72600.00,1.97,82600.00,-12.11,0.30,0.67,808.22,-47.39,4,"종가>50일선, 52주고가 75%↑",,,72600.00,,79860.00,,,94.39,50.00,-,64.50
005930,삼성전자,KOSPI200,254500.00,0.39,285000.00,-10.70,0.44,0.40,46478.42,-32.04,4,"종가>50일선, 52주고가 75%↑",,,254500.00,,279950.00,,,91.45,50.00,-,64.20
003490,대한항공,KOSPI200,29350.00,0.34,30900.00,-5.02,0.57,0.37,835.52,-5.93,6,,,"눌림 조건 충족, 손익비 2.0로 제외",29350.00,,32285.00,,,60.83,50.00,-,64.10
