ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
003490,대한항공,KOSPI200,31350.00,7.92,30900.00,1.46,2.67,0.92,883.96,-0.63,6,,돌파,"피벗 30,900 돌파, 거래량 2.7배",31350.00,29678.57,34692.86,2.00,-5.33,10.66,3.55,69.71,100.00,"5일 +1,141억 (외 +644 / 기 +497)",87.80,29,909150.00
222800,심텍,KOSDAQ150,146700.00,11.47,138300.00,6.07,2.37,0.46,1004.05,-10.66,6,,,"피벗 대비 +6.1% 과열, 추격 금지",146700.00,,167238.00,,,,6.44,96.11,50.00,-,85.50,0,0.00
066570,LG전자,KOSPI200,214500.00,5.67,225500.00,-4.88,1.53,0.46,1437.85,-51.03,5,52주고가 75%↑,관찰,"피벗 225,500까지 4.9%",225725.50,212268.36,252639.79,2.00,-5.96,11.92,4.18,91.16,100.00,"5일 +1,405억 (외 +716 / 기 +689)",84.50,3,677176.50
036540,SFA반도체,KOSDAQ150,10590.00,-0.19,11080.00,-4.42,3.98,0.34,530.90,-9.02,5,50>150일선,,"관찰 조건 충족, 변동성 과대(ATR 7.3%)로 제외",11091.08,,12643.83,,,,7.30,94.05,50.00,-,82.90,0,0.00
005930,삼성전자,KOSPI200,276500.00,0.55,279000.00,-0.90,0.73,0.42,43518.04,-26.17,5,52주고가 75%↑,관찰,"피벗 279,000까지 0.9%",279279.00,264493.29,308850.43,2.00,-5.29,10.59,3.56,93.22,100.00,"5일 +22,279억 (외 -1,655 / 기 +23,934)",81.30,3,837837.00
420770,기가비스,KOSDAQ150,117100.00,5.12,114200.00,2.54,2.60,0.41,155.21,-43.16,5,52주고가 75%↑,,,117100.00,,133494.00,,,,6.79,93.64,50.00,-,80.80,0,0.00
096530,씨젠,KOSDAQ150,34000.00,-0.29,35750.00,-4.90,0.66,0.41,108.23,-4.90,6,,관찰,"피벗 35,750까지 4.9%",35785.75,34143.79,39069.68,2.00,-4.59,9.18,3.22,76.31,100.00,5일 +107억 (외 +86 / 기 +20),80.00,30,1073572.50
055550,신한지주,KOSPI200,112900.00,-0.27,116500.00,-3.09,0.64,0.33,1229.11,-3.09,6,,관찰,"피벗 116,500까지 3.1%",116616.50,110948.64,127952.21,2.00,-4.86,9.72,3.35,75.49,100.00,5일 +109억 (외 -442 / 기 +551),79.60,8,932932.00
007340,DN오토모티브,KOSPI200,49450.00,0.82,50600.00,-2.27,0.73,0.49,53.93,-26.74,5,52주고가 75%↑,관찰,"피벗 50,600까지 2.3%",50650.60,47313.10,57325.60,2.00,-6.59,13.18,4.50,83.74,100.00,5일 +14억 (외 -51 / 기 +65),78.00,14,709108.40
131290,티에스이,KOSDAQ150,281000.00,4.27,318500.00,-11.77,0.67,0.93,394.88,-11.77,6,,,"눌림 조건 충족, 변동성 과대(ATR 8.9%)로 제외",281000.00,,320340.00,,,,8.88,97.76,50.00,-,77.60,0,0.00
078930,GS,KOSPI200,109700.00,-3.43,133200.00,-17.64,1.05,0.54,532.82,-17.64,6,,,,109700.00,,125058.00,,,,5.66,91.99,50.00,-,77.50,0,0.00
031980,피에스케이홀딩스,KOSDAQ150,158200.00,-6.94,174000.00,-9.08,0.84,0.05,275.58,-9.08,6,,,,158200.00,,180348.00,,,,9.90,94.88,50.00,-,77.40,0,0.00
010950,S-Oil,KOSPI200,153500.00,-0.26,170800.00,-10.13,1.02,0.64,684.67,-13.33,6,,,,153500.00,,174990.00,,,,6.26,90.75,50.00,-,76.90,0,0.00
067310,하나마이크론,KOSDAQ150,45700.00,1.22,45400.00,0.66,2.18,0.43,679.91,-21.88,5,50>150일선,,,45700.00,,52098.00,,,,5.57,86.21,50.00,-,76.10,0,0.00
161890,한국콜마,KOSPI200,146000.00,0.07,165900.00,-12.00,0.70,0.34,461.99,-12.00,6,,,,146000.00,,166440.00,,,,5.16,92.81,50.00,-,76.00,0,0.00
043260,성호전자,KOSDAQ150,26850.00,-1.10,28050.00,-4.28,2.17,0.26,814.33,-54.95,4,"50>150일선, 52주고가 75%↑",,,26850.00,,30609.00,,,,8.30,99.00,50.00,-,75.50,0,0.00
009150,삼성전기,KOSPI200,1481000.00,3.42,1475000.00,0.41,1.15,0.30,8422.97,-38.73,5,52주고가 75%↑,,,1481000.00,,1688340.00,,,,5.19,98.17,50.00,-,75.10,0,0.00
241710,코스메카코리아,KOSDAQ150,126800.00,-2.76,155500.00,-18.46,0.46,0.02,153.21,-18.46,6,,,,126800.00,,144552.00,,,,6.74,92.40,50.00,-,74.60,0,0.00
028050,삼성E&A,KOSPI200,51300.00,-1.72,55200.00,-7.07,0.82,0.21,872.00,-23.77,6,,,"눌림 조건 충족, 변동성 과대(ATR 4.8%)로 제외",51300.00,,58482.00,,,,4.75,84.15,50.00,-,73.60,0,0.00
402340,SK스퀘어,KOSPI200,1127000.00,-0.53,1199000.00,-6.01,0.84,0.21,5170.97,-48.52,5,52주고가 75%↑,,,1127000.00,,1284780.00,,,,5.53,97.35,50.00,-,73.30,0,0.00
001450,현대해상,KOSPI200,47550.00,-2.56,54700.00,-13.07,0.77,0.30,239.21,-13.07,6,,,,47550.00,,54075.00,,,,4.57,82.50,50.00,-,72.70,0,0.00
036930,주성엔지니어링,KOSDAQ150,202500.00,-2.88,239500.00,-15.45,0.58,0.15,2450.49,-28.45,5,52주고가 75%↑,,,202500.00,,230850.00,,,,8.34,98.59,50.00,-,72.40,0,0.00
192820,코스맥스,KOSPI200,269500.00,-1.82,306500.00,-12.07,0.48,0.35,371.18,-12.07,6,,,,269500.00,,307230.00,,,,5.42,85.39,50.00,-,72.30,0,0.00
080220,제주반도체,KOSDAQ150,75400.00,-0.66,82600.00,-8.72,0.84,0.41,814.59,-45.36,5,52주고가 75%↑,,,75400.00,,85956.00,,,,5.78,94.46,50.00,-,72.20,0,0.00
395270,HANARO Fn K-반도체,ETF,59945.00,0.83,60465.00,-0.86,0.86,0.23,605.37,-33.29,5,52주고가 75%↑,관찰,"피벗 60,465까지 0.9%",60525.46,56799.79,67976.82,2.00,-6.16,12.31,4.14,94.05,50.00,ETF 수급 미반영,72.20,13,786831.04
000660,SK하이닉스,KOSPI200,1834000.00,-2.39,1890000.00,-2.96,0.65,0.21,57552.40,-38.60,5,52주고가 75%↑,,"관찰 조건 충족, 변동성 과대(ATR 4.9%)로 제외",1891890.00,,2156754.60,,,,4.89,96.52,50.00,-,72.10,0,0.00
395160,KODEX AI반도체TOP2플러스,ETF,41895.00,0.59,42530.00,-1.49,0.88,0.08,1320.20,-34.67,5,52주고가 75%↑,관찰,"피벗 42,530까지 1.5%",42572.53,39947.53,47822.53,2.00,-6.17,12.33,4.18,91.58,50.00,ETF 수급 미반영,71.40,19,808878.07
058470,리노공업,KOSDAQ150,75600.00,7.39,73400.00,3.00,2.94,0.80,442.50,-41.40,4,"50>150일선, 52주고가 75%↑",돌파,"피벗 73,400 돌파, 거래량 2.9배",75600.00,70896.43,85007.14,2.00,-6.22,12.44,4.15,47.44,100.00,5일 +69억 (외 -91 / 기 +160),71.30,10,756000.00
105560,KB금융,KOSPI200,176000.00,-1.07,181700.00,-3.14,0.57,0.34,1987.84,-9.51,6,,관찰,"피벗 181,700까지 3.1%",181881.70,173235.27,199174.56,2.00,-4.75,9.51,3.28,72.60,65.00,"5일 +134억 (외 -979 / 기 +1,113)",71.30,5,909408.50
