ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
352820,하이브,KOSPI200,156700.00,-0.25,188300.00,-16.78,1.03,0.62,308.56,-61.36,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,156700.00,,173435.71,,,,3.56,4.48,50.00,-,16.70,0,0.00
247540,에코프로비엠,KOSDAQ150,105100.00,0.48,119193.00,-11.82,0.73,0.26,400.39,-58.93,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,105100.00,,119814.00,,,,5.07,7.33,50.00,-,16.20,0,0.00
022100,포스코DX,KOSPI200,20000.00,-1.23,22500.00,-11.11,0.24,0.12,313.58,-56.14,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,20000.00,,22430.00,,,,4.05,13.85,50.00,-,16.00,0,0.00
450080,에코프로머티,KOSPI200,35050.00,-0.71,40200.00,-12.81,0.70,0.28,90.27,-60.53,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,35050.00,,39571.43,,,,4.30,5.30,50.00,-,15.40,0,0.00
251270,넷마블,KOSPI200,34500.00,-0.86,38950.00,-11.42,0.24,0.33,236.24,-50.00,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,34500.00,,37414.29,,,,2.82,11.81,50.00,-,15.30,0,0.00
237690,에스티팜,KOSDAQ150,91000.00,0.89,112800.00,-19.33,0.29,0.31,100.55,-47.12,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,91000.00,,101585.71,,,,3.88,11.00,50.00,-,15.30,0,0.00
028300,HLB,KOSDAQ150,31150.00,0.00,38800.00,-19.72,0.50,0.43,480.66,-54.99,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,31150.00,,35511.00,,,,6.20,5.70,50.00,-,14.50,0,0.00
466100,클로봇,KOSDAQ150,23050.00,0.44,28300.00,-18.55,0.55,0.24,68.24,-70.43,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,23050.00,,26277.00,,,,4.91,4.89,50.00,-,14.50,0,0.00
064350,현대로템,KOSPI200,116400.00,-1.44,141300.00,-17.62,0.50,0.39,383.03,-58.72,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,116400.00,,129364.29,,,,3.71,3.26,50.00,-,13.70,0,0.00
347850,디앤디파마텍,KOSDAQ150,44450.00,3.37,58900.00,-24.53,0.46,0.53,251.80,-61.88,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,44450.00,,50673.00,,,,4.75,4.07,50.00,-,13.70,0,0.00
035900,JYP Ent.,KOSDAQ150,37750.00,0.00,40800.00,-7.48,0.36,0.56,67.05,-57.34,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,37750.00,,40289.29,,,,2.24,3.67,50.00,-,13.10,0,0.00
141080,리가켐바이오,KOSDAQ150,80700.00,0.75,102800.00,-21.50,0.43,0.23,168.61,-64.13,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,80700.00,,91092.86,,,,4.29,1.22,50.00,-,12.60,0,0.00
214150,클래시스,KOSDAQ150,30700.00,0.00,34450.00,-10.89,0.24,0.50,62.14,-60.44,0,"종가>50일선, 50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑, 52주저가 +30%↑",,,30700.00,,33732.14,,,,3.29,2.44,50.00,-,12.00,0,0.00
