ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
036540,SFA반도체,KOSDAQ150,10610.00,18.02,9110.00,16.47,8.64,0.77,456.22,-8.85,5,50>150일선,,"피벗 대비 +16.5% 과열, 추격 금지",10610.00,,12095.40,,,,6.93,93.66,50.00,-,82.80,0,0.00
005930,삼성전자,KOSPI200,275000.00,5.77,279000.00,-1.43,0.91,1.00,43849.73,-26.57,5,52주고가 75%↑,관찰,"피벗 279,000까지 1.4%",279279.00,264546.86,308743.29,2.00,-5.28,10.55,3.57,92.02,100.00,"5일 +11,151억 (외 -6,291 / 기 +17,442)",81.80,3,837837.00
055550,신한지주,KOSPI200,113200.00,1.89,116500.00,-2.83,0.87,0.80,1236.08,-2.83,6,,관찰,"피벗 116,500까지 2.8%",116616.50,110755.79,128337.93,2.00,-5.03,10.05,3.45,77.23,100.00,5일 +57억 (외 -490 / 기 +548),81.40,8,932932.00
096530,씨젠,KOSDAQ150,34100.00,0.59,35750.00,-4.62,0.76,0.36,109.15,-4.62,6,,관찰,"피벗 35,750까지 4.6%",35785.75,34071.46,39214.32,2.00,-4.79,9.58,3.35,77.64,100.00,5일 +100억 (외 +69 / 기 +31),81.00,29,1037786.75
067310,하나마이크론,KOSDAQ150,45150.00,17.12,39150.00,15.33,4.01,0.96,621.71,-22.82,5,50>150일선,,"피벗 대비 +15.3% 과열, 추격 금지",45150.00,,51471.00,,,,5.44,87.50,50.00,-,80.60,0,0.00
105560,KB금융,KOSPI200,177900.00,1.25,181700.00,-2.09,0.55,0.75,1987.88,-8.53,6,,관찰,"피벗 181,700까지 2.1%",181881.70,172967.41,199710.27,2.00,-4.90,9.80,3.34,73.53,100.00,"5일 +64억 (외 -1,237 / 기 +1,302)",78.50,5,909408.50
131290,티에스이,KOSDAQ150,269500.00,10.91,318500.00,-15.38,0.83,1.00,392.66,-15.38,6,,,,269500.00,,307230.00,,,,9.49,97.77,50.00,-,78.30,0,0.00
031980,피에스케이홀딩스,KOSDAQ150,170000.00,6.32,174000.00,-2.30,0.67,0.81,271.57,-2.30,6,,,"관찰 조건 충족, 변동성 과대(ATR 8.9%)로 제외",174174.00,,198558.36,,,,8.95,95.71,50.00,-,76.90,0,0.00
043260,성호전자,KOSDAQ150,27150.00,2.84,28050.00,-3.21,2.30,0.71,748.82,-54.45,4,"50>150일선, 52주고가 75%↑",,,27150.00,,30951.00,,,,7.90,99.00,50.00,-,76.20,0,0.00
010950,S-Oil,KOSPI200,153900.00,2.81,170800.00,-9.89,0.79,0.75,667.20,-13.10,6,,,,153900.00,,175446.00,,,,6.22,91.20,50.00,-,75.90,0,0.00
222800,심텍,KOSDAQ150,131600.00,4.53,138300.00,-4.84,0.53,1.00,915.15,-19.85,6,,,"관찰 조건 충족, 변동성 과대(ATR 6.2%)로 제외",138438.30,,157819.66,,,,6.18,94.89,50.00,-,75.80,0,0.00
161890,한국콜마,KOSPI200,145900.00,0.27,165900.00,-12.06,0.40,0.92,478.01,-12.06,6,,,,145900.00,,166326.00,,,,5.18,92.84,50.00,-,74.50,0,0.00
078930,GS,KOSPI200,113600.00,-0.35,133200.00,-14.71,0.35,0.46,540.57,-14.71,6,,,,113600.00,,129504.00,,,,5.27,92.43,50.00,-,74.10,0,0.00
241710,코스메카코리아,KOSDAQ150,130400.00,-1.29,155500.00,-16.14,0.30,0.58,159.91,-16.14,6,,,,130400.00,,148656.00,,,,6.63,93.25,50.00,-,74.10,0,0.00
028050,삼성E&A,KOSPI200,52200.00,0.19,55200.00,-5.43,0.83,0.60,857.71,-22.44,6,,,"눌림 조건 충족, 손익비 2.00로 제외",52200.00,,59496.43,,,,4.66,84.62,50.00,-,73.80,0,0.00
319660,피에스케이,KOSDAQ150,138300.00,9.16,140900.00,-1.85,0.90,0.86,379.92,-36.99,5,52주고가 75%↑,,"관찰 조건 충족, 변동성 과대(ATR 6.7%)로 제외",141040.90,,160786.63,,,,6.72,96.54,50.00,-,73.30,0,0.00
009150,삼성전기,KOSPI200,1432000.00,3.17,1475000.00,-2.92,0.73,0.77,8139.06,-40.75,5,52주고가 75%↑,,"관찰 조건 충족, 변동성 과대(ATR 5.1%)로 제외",1476475.00,,1683181.50,,,,5.14,98.18,50.00,-,73.00,0,0.00
192820,코스맥스,KOSPI200,274500.00,0.18,306500.00,-10.44,0.40,0.74,381.84,-10.44,6,,,,274500.00,,312930.00,,,,5.57,88.32,50.00,-,72.90,0,0.00
402340,SK스퀘어,KOSPI200,1133000.00,5.69,1199000.00,-5.50,0.72,0.93,5095.25,-48.24,5,52주고가 75%↑,,,1133000.00,,1291620.00,,,,5.55,97.36,50.00,-,72.70,0,0.00
102110,TIGER 200,ETF,111945.00,2.18,114535.00,-2.26,1.70,0.78,13078.51,-26.52,5,52주고가 75%↑,관찰,"피벗 114,535까지 2.3%",114649.53,109398.25,125152.11,2.00,-4.58,9.16,3.13,81.75,50.00,ETF 수급 미반영,72.10,9,1031845.81
001450,현대해상,KOSPI200,48800.00,0.83,54700.00,-10.79,0.41,0.67,235.93,-10.79,6,,,,48800.00,,55453.57,,,,4.54,85.44,50.00,-,72.00,0,0.00
131970,두산테스나,KOSDAQ150,95700.00,10.89,93000.00,2.90,2.68,0.90,266.49,-51.40,4,"50>150일선, 52주고가 75%↑",,"돌파 조건 충족, 변동성 과대(ATR 7.7%)로 제외",95700.00,,109098.00,,,,7.67,81.75,50.00,-,72.00,0,0.00
395270,HANARO Fn K-반도체,ETF,59450.00,3.62,60465.00,-1.68,0.79,0.95,584.11,-33.84,5,52주고가 75%↑,관찰,"피벗 60,465까지 1.7%",60525.46,56790.14,67996.11,2.00,-6.17,12.34,4.19,94.07,50.00,ETF 수급 미반영,71.90,13,786831.04
036930,주성엔지니어링,KOSDAQ150,208500.00,1.96,239500.00,-12.94,0.44,0.81,2446.90,-26.33,5,52주고가 75%↑,,"눌림 조건 충족, 변동성 과대(ATR 8.2%)로 제외",208500.00,,237690.00,,,,8.20,98.59,50.00,-,71.70,0,0.00
095610,테스,KOSDAQ150,149600.00,8.33,166300.00,-10.04,0.59,0.98,545.86,-36.74,5,52주고가 75%↑,,,149600.00,,170544.00,,,,7.67,96.12,50.00,-,71.60,0,0.00
437730,삼현,KOSDAQ150,55600.00,9.02,52700.00,5.50,11.30,0.57,226.87,-27.70,3,"50>150일선, 150>200일선, 52주고가 75%↑",,"피벗 대비 +5.5% 과열, 추격 금지",55600.00,,63384.00,,,,7.61,90.37,50.00,-,71.60,0,0.00
088350,한화생명,KOSPI200,5760.00,-2.21,6550.00,-12.06,0.56,0.21,295.65,-23.81,6,,,,5760.00,,6566.40,,,,5.41,81.34,50.00,-,71.30,0,0.00
080220,제주반도체,KOSDAQ150,75900.00,3.41,82600.00,-8.11,0.54,1.00,801.34,-45.00,5,52주고가 75%↑,,,75900.00,,86526.00,,,,5.48,94.48,50.00,-,70.80,0,0.00
