ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
028050,삼성E&A,KOSPI200,52100.00,1.36,52000.00,0.19,2.98,0.16,839.15,-22.59,6,,,,52100.00,,57310.00,,,,4.58,86.21,50.00,-,85.10,0,0.00
043260,성호전자,KOSDAQ150,26600.00,19.82,22950.00,15.90,9.55,0.77,674.41,-55.37,4,"50>150일선, 52주고가 75%↑",,"피벗 대비 +15.9% 과열, 추격 금지",26600.00,,29260.00,,,,7.78,99.00,50.00,-,79.70,0,0.00
131290,티에스이,KOSDAQ150,243000.00,-2.21,318500.00,-23.70,0.41,0.00,394.43,-23.70,6,,,,243000.00,,267300.00,,,,10.29,97.76,50.00,-,76.30,0,0.00
031980,피에스케이홀딩스,KOSDAQ150,159900.00,-4.19,174000.00,-8.10,0.49,0.00,264.14,-8.10,6,,,,159900.00,,175890.00,,,,9.19,95.70,50.00,-,76.00,0,0.00
161890,한국콜마,KOSPI200,145700.00,-1.55,165900.00,-12.18,0.67,0.12,489.18,-12.18,6,,,,145700.00,,160270.00,,,,5.49,93.22,50.00,-,76.00,0,0.00
222800,심텍,KOSDAQ150,125900.00,-2.78,138300.00,-8.97,0.54,0.16,923.67,-23.33,6,,,,125900.00,,138490.00,,,,6.32,94.88,50.00,-,75.90,0,0.00
420770,기가비스,KOSDAQ150,111800.00,10.69,119800.00,-6.68,2.53,0.86,142.29,-45.73,4,"종가>50일선, 52주고가 75%↑",,,111800.00,,122980.00,,,,7.49,94.05,50.00,-,75.60,0,0.00
010950,S-Oil,KOSPI200,149400.00,-2.23,170800.00,-12.53,0.71,0.09,652.43,-15.64,6,,,,149400.00,,164340.00,,,,6.57,90.75,50.00,-,75.30,0,0.00
001450,현대해상,KOSPI200,48450.00,-1.62,54700.00,-11.43,1.22,0.38,241.11,-11.43,6,,,,48450.00,,53295.00,,,,4.81,83.33,50.00,-,75.30,0,0.00
078930,GS,KOSPI200,113800.00,-0.35,133200.00,-14.56,0.55,0.36,552.25,-14.56,6,,,,113800.00,,125180.00,,,,5.66,92.81,50.00,-,75.20,0,0.00
009150,삼성전기,KOSPI200,1385000.00,2.52,1475000.00,-6.10,1.08,0.03,8040.59,-42.70,5,52주고가 75%↑,,,1385000.00,,1523500.00,,,,5.37,98.17,50.00,-,74.70,0,0.00
036540,SFA반도체,KOSDAQ150,8990.00,3.21,9110.00,-1.32,1.53,0.71,311.32,-22.77,5,50>150일선,,"관찰 조건 충족, 손익비 1.43로 제외",9119.11,,10031.02,,,,6.83,91.58,50.00,-,74.70,0,0.00
005830,DB손해보험,KOSPI200,188000.00,-2.99,208000.00,-9.62,1.66,0.18,450.79,-12.15,6,,,,188000.00,,206800.00,,,,4.83,74.25,50.00,-,74.30,0,0.00
192820,코스맥스,KOSPI200,273000.00,-0.73,306500.00,-10.93,0.64,0.39,404.91,-10.93,6,,,,273000.00,,300300.00,,,,5.80,88.28,50.00,-,74.10,0,0.00
241710,코스메카코리아,KOSDAQ150,131700.00,-0.68,155500.00,-15.31,0.27,0.35,165.14,-15.31,6,,,,131700.00,,144870.00,,,,7.08,93.64,50.00,-,74.10,0,0.00
021240,코웨이,KOSPI200,101100.00,-6.73,109200.00,-7.42,2.44,0.07,195.57,-7.42,6,,,,101100.00,,111210.00,,,,4.46,61.88,50.00,-,73.90,0,0.00
000660,SK하이닉스,KOSPI200,1842000.00,4.30,1890000.00,-2.54,0.90,0.71,58457.54,-38.33,5,52주고가 75%↑,,"관찰 조건 충족, 손익비 1.44로 제외",1891890.00,,2081079.00,,,,4.77,96.52,50.00,-,73.30,0,0.00
282330,BGF리테일,KOSPI200,137600.00,-4.18,153400.00,-10.30,2.02,0.21,78.28,-12.13,6,,,,137600.00,,151360.00,,,,4.25,65.17,50.00,-,72.90,0,0.00
442580,PLUS 글로벌HBM반도체,ETF,101235.00,4.31,106600.00,-5.03,0.99,1.00,481.37,-33.99,5,52주고가 75%↑,,,101235.00,,111358.50,,,,3.44,93.64,50.00,ETF 수급 미반영,72.70,0,0.00
055550,신한지주,KOSPI200,110700.00,-2.98,116500.00,-4.98,1.34,0.14,1211.34,-4.98,6,,,"관찰 조건 충족, 손익비 1.99로 제외",116616.50,,128278.15,,,,3.53,73.84,50.00,-,72.60,0,0.00
036930,주성엔지니어링,KOSDAQ150,204500.00,-0.49,239500.00,-14.61,0.59,0.30,2427.48,-27.74,5,52주고가 75%↑,,,204500.00,,224950.00,,,,8.28,98.59,50.00,-,72.50,0,0.00
102110,TIGER 200,ETF,109560.00,2.85,114535.00,-4.34,1.77,0.63,12746.89,-28.08,5,52주고가 75%↑,관찰,"피벗 114,535까지 4.3%",114649.53,109451.82,125044.96,2.00,-4.53,9.07,3.16,81.26,50.00,ETF 수급 미반영,72.30,9,1031845.81
088350,한화생명,KOSPI200,5880.00,-3.29,6550.00,-10.23,0.68,0.12,295.43,-22.22,6,,,,5880.00,,6468.00,,,,5.48,82.09,50.00,-,72.10,0,0.00
093370,후성,KOSPI200,14610.00,-0.14,15410.00,-5.19,1.13,0.44,435.01,-37.96,5,52주고가 75%↑,,,14610.00,,16071.00,,,,6.67,89.51,50.00,-,72.00,0,0.00
086790,하나금융지주,KOSPI200,133300.00,-3.75,142000.00,-6.13,1.25,0.04,1009.74,-6.46,6,,,,133300.00,,146630.00,,,,3.75,73.42,50.00,-,71.90,0,0.00
375500,DL이앤씨,KOSPI200,86600.00,2.36,90600.00,-4.42,1.15,0.45,362.15,-18.76,5,50>150일선,,"관찰 조건 충족, 손익비 1.43로 제외",90690.60,,99759.66,,,,5.08,89.10,50.00,-,71.90,0,0.00
218410,RFHIC,KOSDAQ150,60800.00,12.59,54700.00,11.15,4.56,0.74,263.00,-52.09,4,"50>150일선, 52주고가 75%↑",,"피벗 대비 +11.2% 과열, 추격 금지",60800.00,,66880.00,,,,6.02,75.90,50.00,-,71.60,0,0.00
096530,씨젠,KOSDAQ150,33850.00,0.15,35750.00,-5.31,0.80,0.76,123.68,-5.31,6,,,,33850.00,,37235.00,,,,3.41,76.73,50.00,-,70.80,0,0.00
089970,브이엠,KOSDAQ150,54900.00,2.62,61700.00,-11.02,1.84,0.71,307.96,-55.04,4,"종가>50일선, 52주고가 75%↑",,,54900.00,,60390.00,,,,6.69,89.92,50.00,-,70.70,0,0.00
316140,우리금융지주,KOSPI200,36150.00,-0.69,36950.00,-2.17,1.27,0.25,1111.85,-12.89,6,,,"관찰 조건 충족, 손익비 1.85로 제외",36986.95,,40685.64,,,,3.69,69.30,50.00,-,70.60,0,0.00
395270,HANARO Fn K-반도체,ETF,57375.00,4.35,60465.00,-5.11,0.51,0.81,564.27,-36.15,5,52주고가 75%↑,,,57375.00,,63112.50,,,,4.32,93.64,50.00,ETF 수급 미반영,70.30,0,0.00
005930,삼성전자,KOSPI200,259500.00,1.37,285000.00,-8.95,0.60,0.44,44624.20,-30.71,5,52주고가 75%↑,,,259500.00,,285450.00,,,,3.61,91.99,50.00,-,70.20,0,0.00
183300,코미코,KOSDAQ150,30900.00,5.46,30250.00,2.15,3.97,0.61,151.35,-44.61,4,"50>150일선, 52주고가 75%↑",,"돌파 조건 충족, 손익비 1.43로 제외",30900.00,,33990.00,,,,7.14,71.77,50.00,-,70.10,0,0.00
066570,LG전자,KOSPI200,198600.00,-0.40,225500.00,-11.93,0.70,0.17,1331.46,-54.66,5,52주고가 75%↑,,,198600.00,,218460.00,,,,4.48,90.34,50.00,-,70.10,0,0.00
047040,대우건설,KOSPI200,18990.00,2.10,21950.00,-13.49,1.18,0.24,1697.93,-52.94,4,"50>150일선, 52주고가 75%↑",,,18990.00,,20889.00,,,,7.24,97.35,50.00,-,70.00,0,0.00
008930,한미사이언스,KOSPI200,49000.00,-3.73,61000.00,-19.67,1.26,0.23,321.39,-19.67,5,150>200일선,,,49000.00,,53900.00,,,,7.99,81.67,50.00,-,69.90,0,0.00
395160,KODEX AI반도체TOP2플러스,ETF,40220.00,4.51,42530.00,-5.43,0.57,0.75,1295.04,-37.28,5,52주고가 75%↑,,,40220.00,,44242.00,,,,4.32,91.58,50.00,ETF 수급 미반영,69.90,0,0.00
001440,대한전선,KOSPI200,31700.00,10.45,31400.00,0.96,4.70,0.88,525.01,-58.23,4,"50>150일선, 52주고가 75%↑",,"돌파 조건 충족, 손익비 1.43로 제외",31700.00,,34870.00,,,,4.89,68.89,50.00,-,69.10,0,0.00
032820,우리기술,KOSDAQ150,13980.00,3.86,15070.00,-7.23,1.35,0.88,921.24,-53.71,4,"50>150일선, 52주고가 75%↑",,,13980.00,,15378.00,,,,7.55,92.40,50.00,-,69.10,0,0.00
319400,현대무벡스,KOSDAQ150,22750.00,3.88,24250.00,-6.19,1.91,0.67,222.53,-54.86,4,"50>150일선, 52주고가 75%↑",,,22750.00,,25025.00,,,,4.79,84.15,50.00,-,69.00,0,0.00
139260,TIGER 200 IT,ETF,137380.00,4.00,145300.00,-5.45,0.28,0.62,341.44,-35.83,5,52주고가 75%↑,,,137380.00,,151118.00,,,,4.23,92.81,50.00,ETF 수급 미반영,68.90,0,0.00
028670,팬오션,KOSPI200,5770.00,-2.20,6530.00,-11.64,0.85,0.21,230.76,-12.58,6,,,,5770.00,,6347.00,,,,5.50,70.12,50.00,-,68.80,0,0.00
000810,삼성화재,KOSPI200,653000.00,-1.95,705000.00,-7.38,1.28,0.26,710.38,-13.74,6,,,,653000.00,,718300.00,,,,4.66,63.53,50.00,-,68.70,0,0.00
228790,TIGER 화장품,ETF,4325.00,0.70,5115.00,-15.44,0.76,0.41,396.01,-15.44,6,,,,4325.00,,4757.50,,,,4.00,70.12,50.00,ETF 수급 미반영,68.30,0,0.00
096770,SK이노베이션,KOSPI200,136700.00,-1.65,164700.00,-17.00,0.59,0.23,1761.40,-17.00,6,,,,136700.00,,150370.00,,,,7.09,72.19,50.00,-,68.20,0,0.00
073240,금호타이어,KOSPI200,7040.00,0.14,7870.00,-10.55,0.20,0.09,149.33,-20.45,6,,,,7040.00,,7744.00,,,,5.04,77.14,50.00,-,68.00,0,0.00
069500,KODEX 200,ETF,109285.00,2.83,114260.00,-4.35,0.86,0.62,24222.03,-28.17,5,52주고가 75%↑,관찰,"피벗 114,260까지 4.4%",114374.26,109054.08,125014.62,2.00,-4.65,9.30,3.25,81.26,50.00,ETF 수급 미반영,67.80,9,1029368.34
000150,두산,KOSPI200,1437000.00,1.70,1491000.00,-3.62,1.85,0.15,1037.14,-42.27,4,"50>150일선, 52주고가 75%↑",,,1437000.00,,1580700.00,,,,6.21,80.85,50.00,-,67.50,0,0.00
034730,SK,KOSPI200,549000.00,0.55,628000.00,-12.58,1.38,0.62,760.80,-37.83,4,"종가>50일선, 52주고가 75%↑",,,549000.00,,603900.00,,,,5.59,87.45,50.00,-,67.50,0,0.00
402340,SK스퀘어,KOSPI200,1067000.00,4.71,1199000.00,-11.01,0.72,0.66,5046.78,-51.26,4,"종가>50일선, 52주고가 75%↑",,,1067000.00,,1173700.00,,,,5.87,96.94,50.00,-,67.50,0,0.00
007340,DN오토모티브,KOSPI200,49250.00,2.18,49500.00,-0.51,0.69,0.48,58.90,-27.04,5,52주고가 75%↑,,"관찰 조건 충족, 손익비 1.59로 제외",49549.50,,54504.45,,,,4.23,82.50,50.00,-,67.30,0,0.00
010120,LS ELECTRIC,KOSPI200,208500.00,2.71,224000.00,-6.92,1.02,0.68,987.04,-37.76,4,"50>150일선, 52주고가 75%↑",,,208500.00,,229350.00,,,,4.16,91.16,50.00,-,67.00,0,0.00
090430,아모레퍼시픽,KOSPI200,142600.00,-1.18,152500.00,-6.49,0.61,0.28,360.55,-15.62,6,,,,142600.00,,156860.00,,,,3.99,68.47,50.00,-,67.00,0,0.00
390390,KODEX 미국반도체,ETF,53100.00,2.86,53790.00,-1.28,1.45,0.99,337.81,-24.20,5,종가>50일선,관찰,"피벗 53,790까지 1.3%",53843.79,52452.54,56626.29,2.00,-2.58,5.17,1.75,70.12,50.00,ETF 수급 미반영,66.80,35,1884532.65
148020,RISE 200,ETF,110225.00,2.84,115115.00,-4.25,0.65,0.70,1044.65,-28.12,5,52주고가 75%↑,관찰,"피벗 115,115까지 4.2%",115230.11,110040.11,125610.11,2.00,-4.50,9.01,3.14,81.26,50.00,ETF 수급 미반영,66.70,9,1037071.03
064760,티씨케이,KOSDAQ150,269000.00,-1.47,288500.00,-6.76,0.39,0.38,175.40,-22.81,5,50>150일선,,,269000.00,,295900.00,,,,7.22,84.97,50.00,-,66.70,0,0.00
000990,DB하이텍,KOSPI200,125900.00,0.72,131400.00,-4.19,1.24,0.58,669.57,-45.38,4,"50>150일선, 52주고가 75%↑",,,125900.00,,138490.00,,,,6.54,87.04,50.00,-,66.70,0,0.00
251970,펌텍코리아,KOSDAQ150,61700.00,-1.12,66500.00,-7.22,0.71,0.45,58.58,-12.11,5,150>200일선,,,61700.00,,67870.00,,,,6.04,79.61,50.00,-,66.40,0,0.00
180640,한진칼,KOSPI200,139300.00,-0.64,154200.00,-9.66,0.73,0.36,122.81,-20.81,6,,,,139300.00,,153230.00,,,,6.27,64.35,50.00,-,66.20,0,0.00
472150,TIGER 배당커버드콜액티브,ETF,20535.00,2.75,21245.00,-3.34,0.66,0.76,779.03,-26.97,5,52주고가 75%↑,관찰,"피벗 21,245까지 3.3%",21266.24,20365.17,23068.39,2.00,-4.24,8.47,2.93,78.79,50.00,ETF 수급 미반영,65.90,55,1169643.47
175330,JB금융지주,KOSPI200,30900.00,-3.44,33100.00,-6.65,0.68,0.10,140.15,-19.74,6,,,,30900.00,,33990.00,,,,4.97,63.94,50.00,-,65.80,0,0.00
139130,iM금융지주,KOSPI200,18070.00,-2.11,19500.00,-7.33,1.90,0.56,70.72,-17.86,5,50>150일선,,,18070.00,,19877.00,,,,3.74,59.81,50.00,-,65.40,0,0.00
131970,두산테스나,KOSDAQ150,86300.00,8.15,93000.00,-7.20,1.60,0.75,235.78,-56.17,4,"50>150일선, 52주고가 75%↑",,,86300.00,,94930.00,,,,7.77,77.96,50.00,-,65.30,0,0.00
003490,대한항공,KOSPI200,29150.00,-1.35,30900.00,-5.66,0.89,0.21,821.03,-6.57,6,,,"눌림 조건 충족, 손익비 1.80로 제외",29150.00,,32065.00,,,,3.70,59.40,50.00,-,65.20,0,0.00
319660,피에스케이,KOSDAQ150,126700.00,-0.39,140900.00,-10.08,0.30,0.32,371.60,-42.28,4,"종가>50일선, 52주고가 75%↑",,,126700.00,,139370.00,,,,6.91,96.11,50.00,-,65.10,0,0.00
295310,에이치브이엠,KOSDAQ150,60300.00,-2.27,61900.00,-2.58,1.34,0.60,62.80,-58.13,4,"50>150일선, 52주고가 75%↑",,,60300.00,,66330.00,,,,6.20,80.44,50.00,-,64.80,0,0.00
080220,제주반도체,KOSDAQ150,73400.00,0.82,82600.00,-11.14,0.35,0.25,798.01,-46.81,4,"종가>50일선, 52주고가 75%↑",,,73400.00,,80740.00,,,,5.94,94.46,50.00,-,64.80,0,0.00
091160,KODEX 반도체,ETF,130545.00,2.26,138190.00,-5.53,0.62,0.63,2045.21,-30.84,4,"50>150일선, 52주고가 75%↑",,,130545.00,,143599.50,,,,4.12,90.34,50.00,ETF 수급 미반영,64.70,0,0.00
095610,테스,KOSDAQ150,138100.00,1.32,166300.00,-16.96,0.28,0.15,537.77,-41.61,4,"종가>50일선, 52주고가 75%↑",,,138100.00,,151910.00,,,,8.09,95.29,50.00,-,64.70,0,0.00
280360,롯데웰푸드,KOSPI200,127100.00,-2.61,155000.00,-18.00,0.54,0.45,53.13,-18.00,6,,,,127100.00,,139810.00,,,,5.86,62.70,50.00,-,64.60,0,0.00
437730,삼현,KOSDAQ150,49950.00,0.20,52700.00,-5.22,2.03,0.74,134.68,-35.05,3,"50>150일선, 150>200일선, 52주고가 75%↑",,,49950.00,,54945.00,,,,7.08,83.74,50.00,-,64.50,0,0.00
100790,미래에셋벤처투자,KOSDAQ150,17610.00,2.74,18000.00,-2.17,1.35,0.43,112.71,-75.09,4,"50>150일선, 52주고가 75%↑",,,17610.00,,19371.00,,,,5.83,78.79,50.00,-,64.30,0,0.00
278470,에이피알,KOSPI200,367500.00,3.52,475000.00,-22.63,1.06,0.74,1131.34,-22.63,5,종가>50일선,,,367500.00,,404250.00,,,,6.30,66.83,50.00,-,63.70,0,0.00
006400,삼성SDI,KOSPI200,542000.00,-0.55,600000.00,-9.67,0.67,0.29,2449.73,-25.03,4,"50>150일선, 52주고가 75%↑",,,542000.00,,596200.00,,,,4.69,86.62,50.00,-,63.60,0,0.00
128940,한미약품,KOSPI200,504000.00,-2.14,564000.00,-10.64,0.75,0.21,1046.04,-22.10,5,50>150일선,,,504000.00,,554400.00,,,,5.24,69.71,50.00,-,63.20,0,0.00
003550,LG,KOSPI200,112200.00,-0.53,125700.00,-10.74,0.86,0.26,380.91,-39.64,5,52주고가 75%↑,,,112200.00,,123420.00,,,,4.10,68.06,50.00,-,63.10,0,0.00
240810,원익IPS,KOSDAQ150,121600.00,1.93,127900.00,-4.93,0.57,0.80,844.10,-35.25,4,"50>150일선, 52주고가 75%↑",,,121600.00,,133760.00,,,,6.37,85.80,50.00,-,62.90,0,0.00
067310,하나마이크론,KOSDAQ150,38500.00,1.45,39150.00,-1.66,0.98,0.68,493.15,-34.19,4,"50>150일선, 52주고가 75%↑",,,38500.00,,42350.00,,,,5.34,80.03,50.00,-,62.90,0,0.00
487240,KODEX AI전력핵심설비,ETF,37585.00,5.28,39055.00,-3.76,1.20,0.83,1012.23,-41.83,4,"50>150일선, 52주고가 75%↑",,,37585.00,,41343.50,,,,4.43,76.73,50.00,ETF 수급 미반영,62.80,0,0.00
082920,비츠로셀,KOSDAQ150,29350.00,-0.17,33850.00,-13.29,2.80,0.25,130.00,-56.71,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,29350.00,,32285.00,,,,6.09,67.65,50.00,-,62.70,0,0.00
396500,TIGER 반도체TOP10,ETF,37000.00,4.03,39030.00,-5.20,0.54,0.92,3308.09,-34.68,4,"50>150일선, 52주고가 75%↑",,,37000.00,,40700.00,,,,4.19,85.39,50.00,ETF 수급 미반영,62.60,0,0.00
033780,KT&G,KOSPI200,172500.00,-0.69,179000.00,-3.63,1.01,0.56,351.90,-10.34,5,종가>50일선,관찰,"피벗 179,000까지 3.6%",179179.00,173768.29,190000.43,2.00,-3.02,6.04,2.09,55.69,65.00,5일 +122억 (외 +182 / 기 -59),62.60,9,1612611.00
058610,에스피지,KOSDAQ150,99000.00,-0.10,107600.00,-7.99,0.28,0.29,387.26,-40.25,4,"50>150일선, 52주고가 75%↑",,,99000.00,,108900.00,,,,6.98,88.69,50.00,-,62.50,0,0.00
062040,산일전기,KOSPI200,210500.00,3.69,215000.00,-2.09,1.24,0.75,603.34,-38.27,4,"50>150일선, 52주고가 75%↑",,,210500.00,,231550.00,,,,5.35,75.08,50.00,-,62.50,0,0.00
084370,유진테크,KOSDAQ150,137300.00,0.15,156300.00,-12.16,0.51,0.34,190.41,-40.69,4,"50>150일선, 52주고가 75%↑",,,137300.00,,151030.00,,,,7.09,84.56,50.00,-,62.10,0,0.00
018260,삼성에스디에스,KOSPI200,219500.00,0.69,246000.00,-10.77,0.72,0.33,420.80,-43.50,5,52주고가 75%↑,,,219500.00,,241450.00,,,,4.52,67.24,50.00,-,62.10,0,0.00
042700,한미반도체,KOSPI200,234500.00,2.85,266000.00,-11.84,0.70,0.61,1489.71,-44.95,4,"50>150일선, 52주고가 75%↑",,,234500.00,,257950.00,,,,5.83,81.26,50.00,-,61.90,0,0.00
